,aave-v2_DAI_Ethereum,aave-v2_DAI_Polygon,aave-v2_USDC_Ethereum,aave-v2_USDT_Ethereum,aave-v3_DAI_Ethereum,aave-v3_PT-EUSDE-14AUG2025_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,aave-v3_SUSDE_Ethereum,aave-v3_USDC_Arbitrum,aave-v3_USDC_Avalanche,aave-v3_USDC_Base,aave-v3_USDC_Ethereum,aave-v3_USDC_Polygon,aave-v3_USDE_Ethereum,aave-v3_USDS_Ethereum,aave-v3_USDTB_Ethereum,aave-v3_USDT_Avalanche,aave-v3_USDT_Ethereum,aave-v3_USDT_Polygon,ethena-usde_SUSDE_Ethereum,euler-v2_EUSDE_Ethereum,euler-v2_USDC_Avalanche,euler-v2_USDC_Base,euler-v2_USDC_Ethereum,euler-v2_USDT_Avalanche,euler-v2_USDT_Ethereum,fluid-lending_SUSDE_Ethereum,fluid-lending_SUSDS_Arbitrum,fluid-lending_SUSDS_Ethereum,fluid-lending_USDC_Arbitrum,fluid-lending_USDC_Base,fluid-lending_USDC_Ethereum,fluid-lending_USDC_Polygon,fluid-lending_USDT_Ethereum,fluid-lending_USDT_Polygon,morpho-blue_9SUSDC11CORE_Ethereum,morpho-blue_APRUSDC_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_BBQUSDT_Ethereum,morpho-blue_COUSDC_Base,morpho-blue_CSUSDC_Ethereum,morpho-blue_CUSDOUSDC_Ethereum,morpho-blue_EUSDE_Ethereum,morpho-blue_FUSDC_Ethereum,morpho-blue_GTDAICORE_Ethereum,morpho-blue_GTEUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_GTUSDCC_Base,morpho-blue_GTUSDCF_Ethereum,morpho-blue_GTUSDCP_Base,morpho-blue_GTUSDC_Ethereum,morpho-blue_GTUSDT_Ethereum,morpho-blue_HUSDC_Ethereum,morpho-blue_HUSDT_Ethereum,morpho-blue_HYPERUSDC_Ethereum,morpho-blue_HYUSDC_Ethereum,morpho-blue_MIDASUSDC_Ethereum,morpho-blue_MWUSDC_Base,morpho-blue_PT-SUSDE-31JUL2025_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,morpho-blue_PT-USDE-31JUL2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_RE7USDC_Base,morpho-blue_RESOLVUSDC_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SBMORPHOUSDC_Ethereum,morpho-blue_SMUSDC_Base,morpho-blue_SPARKUSDC_Base,morpho-blue_SPDAI_Ethereum,morpho-blue_STEAKUSDCLEVEL_Ethereum,morpho-blue_STEAKUSDC_Base,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_STEAKUSDT_Ethereum,morpho-blue_SUSDE_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_USDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum,morpho-blue_UUSDC_Base,morpho-blue_VBGTUSDT_Ethereum,morpho-blue_VBSHUSDC_Ethereum
2024-06-06,8764672,2532239,15008331,26535969,10267996,0.0,0.0,0.0,0.0,22743693,5785265.0,2230696,102232913,3516971,10795934,0.0,0.0,2468510.0,112461279,4335690,1300228357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62356312,0.0,48943416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150448.0,0.0,2213621.0,0.0,0.0,0.0,15212145.0,3730426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450063014.0,0.0,0.0,48579218.0,5003929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-07,8333860,2261275,22911342,30103595,10383352,0.0,0.0,0.0,0.0,25156818,5266842.0,3926402,102455100,3986529,10992282,0.0,0.0,2957069.0,200778997,4338353,1329644669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62749485,0.0,48357872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150430.0,0.0,2685301.0,0.0,0.0,0.0,15216157.0,3810085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499844422.0,0.0,0.0,50304431.0,5146540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-08,9089004,2150303,22241371,29202742,10190725,0.0,0.0,0.0,0.0,25684765,6007170.0,3807335,117202086,3511643,38550728,0.0,0.0,2955789.0,190252359,4992815,1362463072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60761683,0.0,49852121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150434.0,0.0,4204093.0,0.0,0.0,0.0,15341963.0,3812579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499920387.0,0.0,0.0,50309857.0,5151858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-09,10304225,2795020,20118059,28350698,9799200,0.0,0.0,0.0,0.0,26334297,5551369.0,4170353,125041767,3644283,36745557,0.0,0.0,2844898.0,190260163,5584345,1402533535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64968955,0.0,49513421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150402.0,0.0,5543265.0,0.0,0.0,0.0,15355138.0,3809366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499611773.0,0.0,0.0,47030614.0,5154306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-10,11117260,2762604,20573553,26463024,15331821,0.0,0.0,0.0,0.0,26781387,5188853.0,3792195,113890607,3648953,34209888,0.0,0.0,2614782.0,175877008,4813951,1427595183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61877500,0.0,49131852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150457.0,0.0,8403867.0,0.0,0.0,0.0,15356898.0,3895968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499699941.0,0.0,0.0,45134333.0,5190553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-11,11054523,1457934,16275481,28428756,13720566,0.0,0.0,0.0,0.0,25990574,5120125.0,2479016,120888480,4959646,32039681,0.0,0.0,3850831.0,141167836,5409491,1451486797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63591918,0.0,51266501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147227.0,0.0,4871001.0,0.0,0.0,0.0,15402751.0,3797743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489005578.0,0.0,0.0,47085884.0,5106567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,10690121,1519553,16784242,28632234,12412302,0.0,0.0,0.0,0.0,26695155,6088293.0,4397758,130049490,3577153,29476835,0.0,0.0,3563339.0,145065106,5942636,1474034683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63548439,0.0,49265089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150619.0,0.0,6571632.0,0.0,0.0,0.0,15357015.0,4188298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500332303.0,0.0,0.0,45191229.0,5298229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-13,10793864,1380624,15390765,28128149,9433722,0.0,0.0,0.0,0.0,27446347,5781133.0,3732636,102746532,4200621,29032790,0.0,0.0,3793424.0,165133093,6713310,1486723412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72998507,0.0,50685270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150965.0,0.0,6217226.0,0.0,0.0,0.0,15364357.0,4203101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501067346.0,0.0,0.0,45212043.0,5464121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14,10365600,1492550,20685801,29270511,10468940,0.0,0.0,0.0,0.0,27584744,5524134.0,4061127,120673708,4000802,26752919,0.0,0.0,4145617.0,161095973,6548787,1500048218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67563763,0.0,52096822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150672.0,0.0,6319325.0,0.0,0.0,0.0,15351960.0,4227782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500147008.0,0.0,0.0,45257565.0,5298663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,10634910,1638934,17261888,29170116,11392683,0.0,0.0,0.0,0.0,31333300,5883236.0,5918315,131041597,3839356,21662699,0.0,0.0,4170908.0,170129836,6699936,1502764878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69680941,0.0,53620709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106203.0,0.0,7466275.0,0.0,0.0,0.0,15365096.0,4228749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501423499.0,0.0,0.0,45283830.0,5369571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
